1,0.339121775,6,,,aver,var,pearsonr,p-value,spearmanr,p-value
2,0.467858908,7,,1~190,0.497645855,0.008536277,-0.215478127,0.0028,-0.198815812,0.0075
3,0.402571671,6,,1~396,0.531161896,0.011471594,-0.154458518,0.0021,-0.12955475,0.0099
4,0.391517317,8,,,,,,,,
5,0.395584116,3,,,,,,,,
6,0.512656103,3,,,,,,,,
7,0.35592445,6,,,,,,,,
8,0.611423581,1,,,,,,,,
9,0.384348871,3,,,,,,,,
10,0.336210206,5,,,,,,,,
11,0.585656377,7,,,,,,,,
12,0.35034394,2,,,,,,,,
13,0.475449593,3,,,,,,,,
14,0.502206506,8,,,,,,,,
15,0.449828,8,,,,,,,,
16,0.691298901,1,,,,,,,,
17,0.446638279,4,,,,,,,,
18,0.393097078,7,,,,,,,,
19,0.440770646,6,,,,,,,,
20,0.565206931,7,,,,,,,,
21,0.503191898,2,,,,,,,,
22,0.486929353,5,,,,,,,,
23,0.609108063,5,,,,,,,,
24,0.572383185,6,,,,,,,,
25,0.453673785,9,,,,,,,,
26,0.528864092,5,,,,,,,,
27,0.558740999,3,,,,,,,,
28,0.567954533,3,,,,,,,,
29,0.44521723,8,,,,,,,,
30,0.423811948,8,,,,,,,,
31,0.533942246,9,,,,,,,,
32,0.36279749,7,,,,,,,,
33,0.511533944,5,,,,,,,,
34,0.369093658,4,,,,,,,,
35,0.408065064,7,,,,,,,,
36,0.291550007,8,,,,,,,,
37,0.456188064,6,,,,,,,,
38,0.321586188,8,,,,,,,,
39,0.492029885,2,,,,,,,,
40,0.465098918,8,,,,,,,,
41,0.437991581,7,,,,,,,,
42,0.446490614,4,,,,,,,,
43,0.413717897,6,,,,,,,,
44,0.613883196,3,,,,,,,,
45,0.688713895,3,,,,,,,,
46,0.481036329,4,,,,,,,,
47,0.501775507,1,,,,,,,,
48,0.491652513,6,,,,,,,,
49,0.4486792,7,,,,,,,,
50,0.394487845,5,,,,,,,,
51,0.554987292,8,,,,,,,,
52,0.537080557,5,,,,,,,,
53,0.466458057,9,,,,,,,,
54,0.318219365,9,,,,,,,,
55,0.400177191,3,,,,,,,,
56,0.340644837,7,,,,,,,,
57,0.437796577,2,,,,,,,,
58,0.475358559,6,,,,,,,,
59,0.376889176,7,,,,,,,,
60,0.481997971,6,,,,,,,,
61,0.533259361,4,,,,,,,,
62,0.395703679,6,,,,,,,,
63,0.387925712,8,,,,,,,,
64,0.409719663,7,,,,,,,,
65,0.468224137,1,,,,,,,,
66,0.471543288,4,,,,,,,,
67,0.540181392,5,,,,,,,,
